ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2015,2015,0,Total,55625,9284.0,"Census Tract 106, Queens County, NY",14000US36081010600,36081010600,NYC
2015,2015,0,Total,102908,9134.0,"Census Tract 1409.02, Queens County, NY",14000US36081140902,36081140902,NYC
2015,2015,0,Total,73667,22338.0,"Census Tract 1018, Kings County, NY",14000US36047101800,36047101800,NYC
2015,2015,0,Total,65592,9191.0,"Census Tract 472, Queens County, NY",14000US36081047200,36081047200,NYC
2015,2015,0,Total,52774,11172.0,"Census Tract 414.01, Kings County, NY",14000US36047041401,36047041401,NYC
2015,2015,0,Total,45127,11361.0,"Census Tract 419, Bronx County, NY",14000US36005041900,36005041900,NYC
2015,2015,0,Total,46292,10119.0,"Census Tract 105, Queens County, NY",14000US36081010500,36081010500,NYC
2015,2015,0,Total,84563,30851.0,"Census Tract 1020, Kings County, NY",14000US36047102000,36047102000,NYC
2015,2015,0,Total,85592,15148.0,"Census Tract 138, Richmond County, NY",14000US36085013800,36085013800,NYC
2015,2015,0,Total,56818,16041.0,"Census Tract 703, Queens County, NY",14000US36081070300,36081070300,NYC
2015,2015,0,Total,107466,29381.0,"Census Tract 167, Kings County, NY",14000US36047016700,36047016700,NYC
2015,2015,0,Total,28884,6107.0,"Census Tract 414.02, Kings County, NY",14000US36047041402,36047041402,NYC
2015,2015,0,Total,57143,14722.000000000002,"Census Tract 1022, Kings County, NY",14000US36047102200,36047102200,NYC
2015,2015,0,Total,54232,7979.000000000001,"Census Tract 285, Bronx County, NY",14000US36005028500,36005028500,NYC
2015,2015,0,Total,99107,13818.0,"Census Tract 277.04, Richmond County, NY",14000US36085027704,36085027704,NYC
2015,2015,0,Total,57375,13672.0,"Census Tract 104, Queens County, NY",14000US36081010400,36081010400,NYC
2015,2015,0,Total,46855,6460.0,"Census Tract 471, Queens County, NY",14000US36081047100,36081047100,NYC
2015,2015,0,Total,74009,8535.0,"Census Tract 1024, Kings County, NY",14000US36047102400,36047102400,NYC
2015,2015,0,Total,24703,7002.000000000001,"Census Tract 1010.01, Queens County, NY",14000US36081101001,36081101001,NYC
2015,2015,0,Total,53924,11019.0,"Census Tract 415, Kings County, NY",14000US36047041500,36047041500,NYC
2015,2015,0,Total,28125,17234.0,"Census Tract 420, Bronx County, NY",14000US36005042000,36005042000,NYC
2015,2015,0,Total,60815,8426.0,"Census Tract 103, Queens County, NY",14000US36081010300,36081010300,NYC
