Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2464,36103123102,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,772,0.026734451,0.026894118999999998,0.13161851,0.021134056000000002,High,Moderate,High,High,68,57,72,70,High,Low,High,High,63,34,76,70,Moderate,Low,High,High,54,34,73,64,2015,2015,0,Total,88281,21350.0,"Census Tract 1231.02, Suffolk County, NY",14000US36103123102,36103123102,LI
2465,36103123201,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,510,0.011805537,-0.002002802,0.021263856,0.003566578,High,Low,Moderate,Moderate,61,31,49,49,Moderate,Very Low,Moderate,Moderate,56,10,57,53,Moderate,Very Low,Moderate,Moderate,48,10,54,50,2015,2015,0,Total,59844,14143.0,"Census Tract 1232.01, Suffolk County, NY",14000US36103123201,36103123201,LI
2466,36103123202,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,2453,-0.004191806,-0.015059487,0.062650852,0.005224971,Moderate,Low,Moderate,Moderate,52,22,57,51,Moderate,Very Low,High,Moderate,48,6,63,54,Moderate,Very Low,Moderate,Moderate,41,6,60,51,2015,2015,0,Total,77213,11801.0,"Census Tract 1232.02, Suffolk County, NY",14000US36103123202,36103123202,LI
2467,36103123301,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1681,-0.008698244,0.006830022,0.012369231000000001,0.0012045489999999999,Moderate,Low,Moderate,Moderate,50,38,47,47,Moderate,Very Low,Moderate,Moderate,45,14,55,50,Low,Very Low,Moderate,Moderate,40,14,53,48,2015,2015,0,Total,67041,12921.0,"Census Tract 1233.01, Suffolk County, NY",14000US36103123301,36103123301,LI
2468,36103123302,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,655,-0.007298796999999999,0.016689427,0.00013199299999999998,0.000984289,Moderate,Moderate,Moderate,Moderate,50,47,45,46,Moderate,Low,Moderate,Moderate,46,21,53,50,Low,Low,Moderate,Moderate,40,21,51,48,2015,2015,0,Total,56917,20368.0,"Census Tract 1233.02, Suffolk County, NY",14000US36103123302,36103123302,LI
2469,36103123401,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1001,0.012436731000000001,0.01848359,0.069933414,0.011480009,High,Moderate,Moderate,Moderate,61,49,59,59,Moderate,Low,High,High,57,23,65,61,Moderate,Low,High,Moderate,48,24,62,56,2015,2015,0,Total,93041,15774.999999999998,"Census Tract 1234.01, Suffolk County, NY",14000US36103123401,36103123401,LI
2470,36103123402,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1291,0.016304581999999998,0.023271279,0.029468400000000002,0.007708059000000001,High,Moderate,Moderate,Moderate,63,53,51,54,Moderate,Low,Moderate,Moderate,59,29,58,57,Moderate,Low,Moderate,Moderate,50,29,55,53,2015,2015,0,Total,59771,12069.0,"Census Tract 1234.02, Suffolk County, NY",14000US36103123402,36103123402,LI
2471,36103123500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1520,-0.011481217,0.010184661999999999,0.079424076,0.009057145,Moderate,Moderate,High,Moderate,48,41,61,56,Moderate,Very Low,High,Moderate,44,16,67,58,Low,Very Low,High,Moderate,39,16,63,54,2015,2015,0,Total,70691,16043.999999999998,"Census Tract 1235, Suffolk County, NY",14000US36103123500,36103123500,LI
2472,36103123600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,426,0.006138313,0.034275901,0.068793721,0.012331448,Moderate,High,Moderate,Moderate,58,65,59,60,Moderate,Moderate,High,High,53,45,65,62,Moderate,Moderate,High,Moderate,45,44,61,57,2015,2015,0,Total,108750,11106.0,"Census Tract 1236, Suffolk County, NY",14000US36103123600,36103123600,LI
2473,36103123701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1677,-0.007012986,0.028379513,-0.061725579,-0.004938719,Moderate,Moderate,Low,Low,51,59,33,39,Moderate,Low,Moderate,Moderate,46,37,43,44,Low,Low,Moderate,Moderate,40,36,42,42,2015,2015,0,Total,61523,10798.0,"Census Tract 1237.01, Suffolk County, NY",14000US36103123701,36103123701,LI
