Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
1102,36059301800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1244,0.1713357,0.036862347000000004,0.062569611,0.030145823999999998,Very High,High,Moderate,High,99,68,57,80,Very High,Moderate,High,High,97,49,63,80,Very High,Moderate,Moderate,High,95,47,60,74,2015,2015,0,Total,88172,14381.0,"Census Tract 3018, Nassau County, NY",14000US36059301800,36059301800,LI
1103,36059301900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,735,0.1843628,0.064237691,0.21018787,0.051677587999999997,Very High,Very High,Very High,Very High,99,92,87,97,Very High,Very High,Very High,Very High,99,88,90,97,Very High,Very High,Very High,Very High,97,84,90,96,2015,2015,0,Total,167045,36569.0,"Census Tract 3019, Nassau County, NY",14000US36059301900,36059301900,LI
1104,36059302000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1055,0.10229354,0.036964237999999996,0.18532048,0.036808461,Very High,High,Very High,Very High,91,68,83,86,Very High,Moderate,Very High,Very High,89,49,86,87,Very High,Moderate,Very High,Very High,83,47,84,82,2015,2015,0,Total,113190,7687.0,"Census Tract 3020, Nassau County, NY",14000US36059302000,36059302000,LI
1105,36059302101,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1165,0.10234321,0.07244184599999999,0.12808168,0.03392797,Very High,Very High,High,Very High,91,96,71,83,Very High,Very High,High,Very High,89,94,75,83,Very High,Very High,High,High,83,92,72,78,2015,2015,0,Total,150724,25390.0,"Census Tract 3021.01, Nassau County, NY",14000US36059302101,36059302101,LI
1106,36059302102,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1127,0.10244964,0.072801344,0.25308242,0.048524592000000005,Very High,Very High,Very High,Very High,91,96,94,95,Very High,Very High,Very High,Very High,89,94,96,95,Very High,Very High,Very High,Very High,83,92,96,94,2015,2015,0,Total,151886,12786.0,"Census Tract 3021.02, Nassau County, NY",14000US36059302102,36059302102,LI
1107,36059302200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1079,0.080436043,0.025300322000000004,-0.016334582,0.009683855,Very High,Moderate,Moderate,Moderate,86,55,42,57,Very High,Low,Moderate,Moderate,85,32,50,59,High,Low,Moderate,Moderate,77,32,49,55,2015,2015,0,Total,86926,18926.0,"Census Tract 3022, Nassau County, NY",14000US36059302200,36059302200,LI
1108,36059302300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,895,0.18890712,0.066296101,0.17615908,0.048439011,Very High,Very High,Very High,Very High,100,93,81,95,Very High,Very High,Very High,Very High,99,89,84,95,Very High,Very High,Very High,Very High,97,86,82,94,2015,2015,0,Total,156875,27595.0,"Census Tract 3023, Nassau County, NY",14000US36059302300,36059302300,LI
1109,36059302400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1026,0.11970028,0.078076847,0.20379853,0.045257818,Very High,Very High,Very High,Very High,94,98,86,93,Very High,Very High,Very High,Very High,92,97,89,93,Very High,Very High,Very High,Very High,86,96,88,91,2015,2015,0,Total,108750,19050.0,"Census Tract 3024, Nassau County, NY",14000US36059302400,36059302400,LI
1110,36059302501,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,587,0.10776234,0.067687795,0.18833737,0.041033309,Very High,Very High,Very High,Very High,92,94,83,90,Very High,Very High,Very High,Very High,90,90,86,91,Very High,Very High,Very High,Very High,84,87,85,87,2015,2015,0,Total,136875,66842.0,"Census Tract 3025.01, Nassau County, NY",14000US36059302501,36059302501,LI
1111,36059302502,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,668,0.08655943,0.06229950099999999,0.14630485,0.033224452,Very High,Very High,High,Very High,87,90,75,83,Very High,Very High,High,Very High,86,86,79,82,High,Very High,High,High,78,81,76,77,2015,2015,0,Total,167692,30555.0,"Census Tract 3025.02, Nassau County, NY",14000US36059302502,36059302502,LI
