,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1617,36061025700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,965,0.04519983,0.046987832,0.026239999,0.013050469,High,High,Moderate,High,75,78,50,61,High,High,Moderate,High,71,65,57,63,High,High,Moderate,Moderate,62,61,55,57
1618,36061025900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,795,0.019231569,0.029957209,-0.093219198,-0.005534343,High,Moderate,Low,Low,64,60,29,39,Moderate,Low,Low,Moderate,60,39,39,43,Moderate,Low,Low,Moderate,51,38,38,42
1619,36061026100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,3028,-0.069843143,0.025521332,-0.36361024,-0.047320027,Very Low,Moderate,Very Low,Very Low,16,56,5,7,Very Low,Low,Very Low,Very Low,19,32,14,14,Very Low,Low,Very Low,Very Low,19,32,12,13
1620,36061026300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1422,-0.05838846,0.038951349,-0.31876415,-0.039405786,Very Low,High,Very Low,Very Low,20,70,7,11,Low,Moderate,Very Low,Very Low,23,53,16,18,Low,Moderate,Very Low,Very Low,23,50,14,16
1621,36061026500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,986,-0.025142429,0.020985777,-0.13870563,-0.016688097,Low,Moderate,Low,Low,40,51,22,27,Low,Low,Low,Low,37,26,33,32,Low,Low,Low,Low,34,26,32,32
1622,36061026700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,352,-0.054353502,0.034786385,-0.071320623,-0.01060734,Low,High,Low,Low,22,65,32,33,Low,Moderate,Moderate,Low,24,46,42,38,Low,Moderate,Moderate,Low,24,44,41,38
1623,36061026900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1712,-0.070837639,0.028793976,-0.31262398,-0.041148365,Very Low,Moderate,Very Low,Very Low,15,59,7,10,Very Low,Low,Very Low,Very Low,18,37,16,17,Very Low,Low,Very Low,Very Low,18,37,15,16
1624,36061027100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1621,-0.018889111,0.045820098,-0.2922956,-0.031227838,Moderate,High,Very Low,Very Low,44,76,8,15,Low,High,Very Low,Low,40,63,18,22,Low,Moderate,Very Low,Low,36,60,16,21
1625,36061027300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,1276,0.07002788,0.04324415,0.1397579,0.028607316,Very High,High,High,High,83,74,73,78,Very High,Moderate,High,High,81,59,77,78,High,Moderate,High,High,73,56,74,72
1626,36061027500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36061,36,NY,615,0.062857315,0.067639165,0.060448751,0.021180965,Very High,Very High,Moderate,High,81,93,57,70,High,Very High,High,High,79,90,63,70,High,Very High,Moderate,High,70,87,60,65
